詞彙,漢語拼音,詞類
抖,dǒu ,V
陡,dǒu ,Vs
逗留,dòuliú ,Vi
鬥志,dòuzhì ,N
督促,dūcù ,V
獨創,dúchuàng ,V
獨到,dúdào ,Vs
獨占/佔,dúzhàn ,V
讀物,dúwù ,N
堵,dŭ ,V
堵塞,dŭsè ,Vst
賭博,dŭbó ,Vi
賭場,dŭchăng ,N
渡,dù ,V
度量衡,dùliánghéng ,N
端正,duānzhèng ,Vs
短缺,duănquē ,Vs
短暫,duănzhàn ,Vs
斷絕,duànjué ,V
堆積,duījī ,V
隊伍,duìwŭ ,N
兌現,duìxiàn ,V
對比,duìbǐ ,N
對照,duìzhào ,Vst
對峙,duìzhì ,Vs
頓,dùn ,Adv
頓,dùn ,Vi
頓時,dùnshí ,Adv
多寡,duōguă ,N
多虧,duōkuī ,Adv
多媒體,duōméitǐ ,N
多元,duōyuán ,Vs
奪魁,duókuí ,Vp
躲避,duǒbì ,V
墮胎,duòtāi ,V-sep
額外,éwài ,Vs-attr
惡,è ,Vs-attr
惡化,èhuà ,Vp
惡性,èxìng ,Vs-attr
惡意,èyì ,N
恩愛,ēnài ,Vs
恩情,ēnqíng ,N
恩人,ēnrén ,N
恩怨,ēnyuàn ,N
而,ér ,Conj
而是,érshì,Conj
而言,éryán,
兒女,érnǚ ,N
耳光,ěrguāng ,N
發,fā ,M
發電,fādiàn ,Vi
發瘋,fāfēng ,Vp
發掘,fājué,V
發誓,fāshì ,V-sep
發炎,fāyán ,Vp
發音,fāyīn,N
發育,fāyù ,Vs
發展,fāzhǎn,N
發作,fāzuò,Vp
法定,fădìng ,Vs-attr
法官,făguān ,N
法令,fălìng ,N
法人,fărén ,N
法則,făzé ,N
法制,făzhì ,N
法治,făzhì ,N
翻臉,fānliăn ,Vp
翻身,fānshēn ,V-sep
翻新,fānxīn ,V
繁多,fánduō ,Vs
繁體,fántǐ,N
藩籬,fánlí ,N
凡/凡是,fánshì,Conj
返,făn ,V
反擊,fănjí ,V
反射,fănshè ,Vi
反省,fănxǐng ,Vi
反之,fănzhī ,Conj
犯規,fànguī ,V-sep
販毒,fàndú ,Vi
販賣,fànmài ,V
方位,fāngwèi ,N
方向盤,fāngxiàngpán ,N
方針,fāngzhēn ,N
方正,fāngzhèng ,Vs
妨礙,fángài ,V
防備,fángbèi ,V
防範,fángfàn ,V
防水,fángshuǐ ,Vs
防衛,fángwèi ,V
防禦,fángyù ,V
防治,fángzhì ,V
仿冒,făngmào ,V
仿造,făngzào ,V
紡織,făngzhī ,Vi
放蕩,fàngdàng ,Vs
放寬,fàngkuān ,V
放款,fàngkuăn ,Vi
放任,fàngrèn ,Vst
放鬆,fàngsōng ,Vs
放映,fàngyìng ,V
放逐,fàngzhú ,Vi
非凡,fēifán ,Vs
非洲,fēizhōu,N
飛彈,fēidàn ,N
飛快,fēikuài ,Adv
飛翔,fēixiáng ,Vi
飛行,fēixíng ,Vi
肥料,féiliào ,N
廢,fèi ,V
廢除,fèichú ,V
廢棄,fèiqì ,V
廢墟,fèixū ,N
